*BIDIRECTIONAL
*types,1
*item,Venetian 0 deg
#(3 datatypes: Te_g_rho, Te_abs_n_diffuse, Te_g_only)
*datatype,Te_g_rho
*layers,3
*sets,3
# Next four lines are not used (only for documentation)
# Properties of DGU: 
# 2 x 3mm low-E with venetian blinds in three states: 0, 45 and 90 deg.
# g0 = 0.606;
# tauvis0 = 0.792;
# udgu := 1.955;
*start_set 
*set_type 1, #2x3mm low-E-V0 
*Uvalue 1.955
*Rexternal 0.04
*Rinternal 0.13
#Next 2 lines: only used for datatype 1 (Te_abs_n_diffuse)
*diffuse_abs,0.26,0.521,0.002,0,0.007
*diffuse_trn,0.345
*direct_angs,37,37
*data
#Azimuth,Height,Te,g,rho
-10,65,0.064,0.064,0.435
-10,70,0.051,0.051,0.488
-10,75,0.043,0.043,0.522
-10,80,0.036,0.036,0.555
-10,85,0.036,0.036,0.555
-10,90,0.036,0.036,0.555
-5,-90,0.035,0.035,0.555
-5,-85,0.035,0.035,0.555
-5,-80,0.035,0.035,0.555
-5,-75,0.043,0.043,0.521
-5,-70,0.051,0.051,0.487
-5,-65,0.064,0.064,0.433
-5,-60,0.076,0.076,0.380
-5,-55,0.090,0.090,0.341
-5,-50,0.104,0.104,0.303
-5,-45,0.122,0.122,0.289
-5,-40,0.139,0.139,0.276
-5,-35,0.179,0.179,0.264
-5,-30,0.218,0.218,0.252
-5,-25,0.275,0.275,0.241
-5,-20,0.332,0.332,0.230
-5,-15,0.380,0.380,0.222
-5,-10,0.428,0.428,0.214
-5,-5,0.475,0.475,0.206
-5,0,0.522,0.522,0.199
-5,5,0.475,0.475,0.206
-5,10,0.428,0.428,0.214
-5,15,0.380,0.380,0.222
-5,20,0.332,0.332,0.230
-5,25,0.275,0.275,0.241
-5,30,0.218,0.218,0.252
-5,35,0.179,0.179,0.264
-5,40,0.139,0.139,0.276
-5,45,0.122,0.122,0.289
-5,50,0.104,0.104,0.303
-5,55,0.090,0.090,0.341
-5,60,0.076,0.076,0.380
-5,65,0.064,0.064,0.433
-5,70,0.051,0.051,0.487
-5,75,0.043,0.043,0.521
-5,80,0.035,0.035,0.555
-5,85,0.035,0.035,0.555
-5,90,0.035,0.035,0.555
0,-90,0.035,0.035,0.555
0,-85,0.035,0.035,0.555
0,-80,0.035,0.035,0.555
0,-75,0.044,0.044,0.520
0,-70,0.052,0.052,0.485
0,-65,0.064,0.064,0.431
0,-60,0.076,0.076,0.378
0,-55,0.090,0.090,0.340
0,-50,0.103,0.103,0.302
0,-45,0.118,0.118,0.289
0,-40,0.132,0.132,0.276
